geo_location,country,city,validation_zone,behavior_type,user_category,classification_confidence,unique_users,downloads_per_user,total_downloads,working_hours_ratio,night_activity_ratio,hourly_entropy,years_span,fraction_latest_year,spike_ratio,aspera_ratio,globus_ratio,unique_projects,user_entropy,user_gini_coefficient,is_bot,is_hub,is_organic,is_protected_hub,needs_review,manual_label,reviewer_notes,claude_evaluation,claude_notes
"24.4542,54.406",United Arab Emirates,Abu Dhabi,easy_bot,bot,bot,0.999139413583398,11388,2.140323147172462,24374,0.3857389021088044,0.2552309838352343,3.1602138740437,5,0.964880610486584,109.8971962616309,0.0,0.0,7313,12.870895107923351,0.3745582861663212,True,False,False,False,False,,,bot,blind_consensus_agreed
"-22.8896,-43.1054",Brazil,Niterói,easy_bot,bot,bot,0.999139413583398,7266,5.305945499587118,38553,0.3388322568931082,0.3436827224859284,3.173799140882642,4,0.9985474541540216,2062.3392857032377,0.0,0.0,9482,12.329970492940372,0.446893223779528,True,False,False,False,False,,,bot,blind_consensus_agreed
"35.4711,44.3925",Iraq,Kirkuk,easy_bot,bot,bot,0.999139413583398,6967,5.491746806372901,38261,0.4134235906013956,0.2104754188337994,3.1262820855433366,1,1.0,38.261,0.0,0.0,10245,12.217346312627438,0.4605502684797875,True,False,False,False,False,,,bot,blind_consensus_agreed
"30.008,31.2194",Egypt,Giza,easy_bot,bot,bot,0.999174343547105,6434,2.686509170034193,17285,0.4192652588949956,0.2295632050911194,3.1138935312201474,5,0.6382991032687301,7.058861164426931,0.0,0.0,4380,9.868252316238348,0.5217013876868519,True,False,False,False,False,,,bot,blind_consensus_agreed
"32.0803,34.7805",Israel,Tel Aviv,easy_bot,bot,bot,0.999146991096074,6665,4.80225056264066,32007,0.3819789421064142,0.2588183834786141,3.14528622846733,5,0.7687068453775736,13.294069971632403,0.0,0.0,8215,10.662088061713636,0.644355924485855,True,False,False,False,False,,,bot,blind_consensus_agreed
"-19.9029,-43.9572",Brazil,Belo Horizonte,easy_bot,bot,bot,0.9991400747321578,42220,5.251468498342018,221717,0.3334701443732325,0.346288286419174,3.1744066833992184,5,0.9965135736096016,1143.3065976708183,1.804101625044539e-05,0.0,22225,14.69472525910221,0.5084848564865465,True,False,False,False,False,,,bot,blind_consensus_agreed
"-20.7701,-49.3577",Brazil,Sao Jose do Rio Preto,easy_bot,bot,bot,0.999139413583398,8861,4.324342624985893,38318,0.3270786575499765,0.3336291038154392,3.168497150796596,2,0.9685004436557232,30.74647887323689,0.0,0.0,9450,12.318496202961263,0.4971965813160002,True,False,False,False,False,,,bot,blind_consensus_agreed
"31.5826,74.3276",Pakistan,Lahore,easy_bot,bot,bot,0.999139413583398,14290,4.044646606018195,57798,0.4552579674037164,0.2025502612547147,3.084910336227926,5,0.9915394996366657,468.78527607323616,0.0,0.0,11984,12.86946566383184,0.5374424781116134,True,False,False,False,False,,,bot,blind_consensus_agreed
"40.4172,-3.684",Spain,,easy_bot,bot,bot,0.999140074737929,6137,5.152191624572267,31619,0.4220247319649577,0.2686675732945381,3.141761626907196,5,0.8108415825927449,17.146296605917595,0.0209051519655903,0.0013915683607957,7282,10.16195320240844,0.6679239230956209,True,False,False,False,False,,,bot,blind_consensus_agreed
"-5.3867,-47.5382",Brazil,Imperatriz,easy_bot,bot,bot,0.999139413583398,5009,5.503294070672789,27566,0.3417253137923529,0.3415076543568163,3.1725066908906285,1,1.0,27.566,0.0,0.0,7609,11.816091126932548,0.4439815051328852,True,False,False,False,False,,,bot,blind_consensus_agreed
